final\initial,,
k,k,Non-palatal stops
K,k,
g,k,
G,k,
w,w,
W,w,
q,w,
Q,w,
t,t,
T,t,
d,t,
D,t,
p,p,
P,p,
b,p,
B,p,
c,k,palatal stops
C,k,
j,w,
J,w,
S,k,
N,N,nasals
Y,Y,
R,R,
n,n,
m,m,
s,H,s and r
r,H,
C+,C,consonant clusters
